ba đình|ba dinh
đông hòa|dong hoa
nha trang
cam ranh
cam lâm|cam lam
vạn ninh|van ninh
ninh hòa|ninh hoa
khánh vĩnh|khanh vinh
diên khánh|dien khanh
khánh sơn|khanh son
trường sa|truong sa
phan rang-tháp chàm|phan rang thap cham
bác ái|bac ai
ninh sơn|ninh son
ninh hải|ninh hai
ninh phước|ninh phuoc
thuận bắc|thuan bac
thuận nam|thuan nam
phan thiết|phan thiet
la gi
tuy phong
bắc bình|bac binh
hàm thuận bắc|ham thuan bac
hàm thuận nam|ham thuan nam
tánh linh|tanh linh
đức linh|duc linh
hàm tân|ham tan
phú quí|phu qui
kon tum
đắk glei|dak glei
ngọc hồi|ngoc hoi
đắk tô|dak to
kon plông|kon plong
kon rẫy|kon ray
đắk hà|dak ha
sa thầy|sa thay
tu mơ rông|tu mo rong
ia h' drai|ia h  drai
an khê|an khe
pleiku
ayun pa
đăk đoa|dak doa
chư păh|chu pah
ia grai
mang yang
kông chro|kong chro
đức cơ|duc co
chư prông|chu prong
chư sê|chu se
đăk pơ|dak po
ia pa
krông pa|krong pa
phú thiện|phu thien
chư pưh|chu puh
buôn ma thuột|buon ma thuot
buôn hồ|buon ho
ea h'leo|ea h leo
ea súp|ea sup
buôn đôn|buon don
cư m'gar|cu m gar
krông búk|krong buk
krông năng|krong nang
ea kar
krông bông|krong bong
krông pắc|krong pac
krông a na|krong a na
cư kuin|cu kuin
gia nghĩa|gia nghia
đăk glong|dak glong
cư jút|cu jut
đắk mil|dak mil
krông nô|krong no
đắk song|dak song
đắk r'lấp|dak r lap
tuy đức|tuy duc
đà lạt|da lat
bảo lộc|bao loc
đam rông|dam rong
lạc dương|lac duong
lâm hà|lam ha
đơn dương|don duong
đức trọng|duc trong
di linh
bảo lâm|bao lam
đạ huoai|da huoai
đạ tẻh|da teh
cát tiên|cat tien
phước long|phuoc long
đồng xoài|dong xoai
bình long|binh long
bù gia mập|bu gia map
lộc ninh|loc ninh
bù đốp|bu dop
hớn quản|hon quan
đồng phú|dong phu
bù đăng|bu dang
chơn thành|chon thanh
phú riềng|phu rieng
tây ninh|tay ninh
tân biên|tan bien
tân châu|tan chau
dương minh châu|duong minh chau
châu thành|chau thanh
hòa thành|hoa thanh
gò dầu|go dau
bến cầu|ben cau
trảng bàng|trang bang
thủ dầu một|thu dau mot
bàu bàng|bau bang
dầu tiếng|dau tieng
bến cát|ben cat
phú giáo|phu giao
tân uyên|tan uyen
dĩ an|di an
thuận an|thuan an
bắc tân uyên|bac tan uyen
biên hòa|bien hoa
long khánh|long khanh
tân phú|tan phu
vĩnh cửu|vinh cuu
định quán|dinh quan
trảng bom|trang bom
thống nhất|thong nhat
cẩm mỹ|cam my
long thành|long thanh
xuân lộc|xuan loc
nhơn trạch|nhon trach
vũng tàu|vung tau
bà rịa|ba ria
châu đức|chau duc
xuyên mộc|xuyen moc
long điền|long dien
đất đỏ|dat do
phú mỹ|phu my
côn đảo|con dao
quận 1|quan 1|q.1|q. 1|q1|q 1
quận 2|quan 2|q.2|q. 2|q2|q 2
quận 9|quan 9|q.9|q. 9|q9|q 9
quận 12|quan 12|q.12|q. 12|q12|q 12
gò vấp|go vap
bình thạnh|binh thanh
tân bình|tan binh
tân phú|tan phu
phú nhuận|phu nhuan
thủ đức|thu duc
quận 3|quan 3|q.3|q. 3|q3|q 3
quận 10|quan 10|q.10|q. 10|q10|q 10
quận 11|quan 11|q.11|q. 11|q11|q 11
quận 4|quan 4|q.4|q. 4|q4|q 4
quận 5|quan 5|q.5|q. 5|q5|q 5
quận 6|quan 6|q.6|q. 6|q6|q 6
quận 8|quan 8|q.8|q. 8|q8|q 8
bình tân|binh tan
quận 7|quan 7|q.7|q. 7|q7|q 7
củ chi|cu chi
hóc môn|hoc mon
bình chánh|binh chanh
nhà bè|nha be
cần giờ|can gio
tân an|tan an
kiến tường|kien tuong
tân hưng|tan hung
vĩnh hưng|vinh hung
mộc hóa|moc hoa
tân thạnh|tan thanh
thạnh hóa|thanh hoa
đức huệ|duc hue
đức hòa|duc hoa
bến lức|ben luc
thủ thừa|thu thua
tân trụ|tan tru
cần đước|can duoc
cần giuộc|can giuoc
châu thành|chau thanh
mỹ tho|my tho
gò công|go cong
cai lậy|cai lay
tân phước|tan phuoc
cái bè|cai be
cai lậy|cai lay
châu thành|chau thanh
chợ gạo|cho gao
gò công tây|go cong tay
gò công đông|go cong dong
tân phú đông|tan phu dong
bến tre|ben tre
châu thành|chau thanh
chợ lách|cho lach
mỏ cày nam|mo cay nam
giồng trôm|giong trom
bình đại|binh dai
ba tri
thạnh phú|thanh phu
mỏ cày bắc|mo cay bac
trà vinh|tra vinh
càng long|cang long
cầu kè|cau ke
tiểu cần|tieu can
châu thành|chau thanh
cầu ngang|cau ngang
trà cú|tra cu
duyên hải|duyen hai
duyên hải|duyen hai
vĩnh long|vinh long
long hồ|long ho
mang thít|mang thit
vũng liêm|vung liem
tam bình|tam binh
bình minh|binh minh
trà ôn|tra on
bình tân|binh tan
cao lãnh|cao lanh
sa đéc|sa dec
hồng ngự|hong ngu
tân hồng|tan hong
hồng ngự|hong ngu
tam nông|tam nong
tháp mười|thap muoi
cao lãnh|cao lanh
thanh bình|thanh binh
lấp vò|lap vo
lai vung
châu thành|chau thanh
long xuyên|long xuyen
châu đốc|chau doc
an phú|an phu
tân châu|tan chau
phú tân|phu tan
châu phú|chau phu
tịnh biên|tinh bien
tri tôn|tri ton
châu thành|chau thanh
chợ mới|cho moi
thoại sơn|thoai son
rạch giá|rach gia
hà tiên|ha tien
kiên lương|kien luong
hòn đất|hon dat
tân hiệp|tan hiep
châu thành|chau thanh
giồng riềng|giong rieng
gò quao|go quao
an biên|an bien
an minh
vĩnh thuận|vinh thuan
phú quốc|phu quoc
kiên hải|kien hai
u minh thượng|u minh thuong
giang thành|giang thanh
ninh kiều|ninh kieu
ô môn|o mon
bình thủy|bình thuỷ|binh thuy
cái răng|cai rang
thốt nốt|thot not
vĩnh thạnh|vinh thanh
cờ đỏ|co do
phong điền|phong dien
thới lai|thoi lai
vị thanh|vi thanh
ngã bảy|nga bay
châu thành a|chau thanh a
châu thành|chau thanh
phụng hiệp|phung hiep
vị thuỷ|vi thuy
long mỹ|long my
long mỹ|long my
sóc trăng|soc trang
châu thành|chau thanh
kế sách|ke sach
mỹ tú|my tu
cù lao dung|cu lao dung
long phú|long phu
mỹ xuyên|my xuyen
ngã năm|nga nam
thạnh trị|thanh tri
vĩnh châu|vinh chau
trần đề|tran de
bạc liêu|bac lieu
hồng dân|hong dan
phước long|phuoc long
vĩnh lợi|vinh loi
giá rai|gia rai
đông hải|dong hai
hoà bình|hoa binh
cà mau|ca mau
u minh
thới bình|thoi binh
trần văn thời|tran van thoi
cái nước|cai nuoc
đầm dơi|dam doi
năm căn|nam can
phú tân|phu tan
ngọc hiển|ngoc hien
